Title,Company,Experience,Salary,Location,Description,Tags,Posting Day,job_link
Operations Manager,Deutsche Bank,5.0,,Pune,Global Securities Operations is looking to hire a qualified professional with good anal...,"Operations Management, data support, Business Continuity Management, data analysis, data management, relationship management, regulatory reporting, build relationships",7,https://www.naukri.com/job-listings-operations-manager-deutsche-bank-ag-pune-5-to-8-years-121224908604
Opening For Angular Developer For Navi Mumbai and Chennai,Tech Mahindra,4.0,,"Navi Mumbai, Chennai",Required Skills - Angular Developer Experience : 4+ years,"Angular Development, sql, CSS, Frontend Development, html, Front end, Development, Angular",10,https://www.naukri.com/job-listings-opening-for-angular-developer-for-navi-mumbai-and-chennai-tech-mahindra-navi-mumbai-chennai-4-to-7-years-091224008618
Principal Consultant,Oracle,10.0,,"India, Mumbai",". Complex ORMB component development (Algorithms, Batches, business services, Scripting...","algorithms, ormb, technical design, obia, multithreading, cc, project management, oracle",15,https://www.naukri.com/job-listings-principal-consultant-oracle-india-pvt-ltd-mumbai-india-10-to-15-years-041224909196
Full Stack Engineer,Accenture,3.0,,Pune,Project Role :Full Stack EngineerProject Role Description :Responsible for developing a...,"css, html, rest, javascript, angular, continuous integration, web services, bootstrap",2,https://www.naukri.com/job-listings-full-stack-engineer-accenture-solutions-pvt-ltd-pune-3-to-8-years-171224915331
SAP ABAP Developer,Infosys,1.0,,Bengaluru,Job TitleSAP ABAP Developer Responsibilities A day in the life of an InfoscionAs part...,"ams, adobe forms, odata, sap fiori, hana migration, abap dictionary, sap, performance tuning",5,https://www.naukri.com/job-listings-sap-abap-developer-infosys-limited-bengaluru-1-to-2-years-131224921429
Leather Technician,Inditex,5.0,,"Ambur, Vellore","Preferred candidate profile . Bachelors degree in Leather Technology, or a related fiel...","leather technician, leather inspection, leather finishing, footwearProduct Development Life Cycleleather leather finishingInspectionraw leatherLeather life cycleSampling, sampling, Product Development Life Cycle, raw leather identification, Finishing",0,https://www.naukri.com/job-listings-leather-technician-inditex-ambur-vellore-5-to-7-years-191224014786
Software Development Engineer,Accenture,5.0,,Mumbai,Minimum 5 year(s) of experience is required. Educational Qualification : 15 years full ...,"mocha, intellij idea, react.js, react native, javascript, css, android, hibernate",9,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-mumbai-5-to-7-years-101224922405
Application Lead,Accenture,5.0,,Mumbai,"Project Role :Application LeadProject Role Description :Lead the effort to design, buil...","maximo, application development, sql, software development life cycle, project delivery, c#, project management, oracle",8,https://www.naukri.com/job-listings-application-lead-accenture-solutions-pvt-ltd-mumbai-5-to-10-years-111224907921
Application Developer,Accenture,5.0,,Bengaluru,Educational Qualification : 15 years full time education. Summary We are seeking a skil...,"cc, sql queries, data extraction, oracle bi publisher, troubleshooting, python, oracle, information technology",2,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-bengaluru-5-to-10-years-171224915395
Application Developer,Accenture,5.0,,Mumbai,Must have skills : Multiplatform Front End Development React. Good to have skills : NAM...,"algorithms, unit testing framework, javascript, async programming, data structures, redux, rest, css",9,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-mumbai-5-to-8-years-101224919062
Logic Design Engineer - MMU,IBM,1.0,,Bengaluru,Experience in memory management and memory controller leadership; knowledge of NuCA NuM...,"physical design, iphone, memory management, microcontroller, logic design, sta, c++, usb",1,https://www.naukri.com/job-listings-logic-design-engineer-mmu-ibm-india-pvt-limited-bengaluru-1-to-4-years-181224919042
Sales Support Administrator,Aveva,3.0,,Mumbai,"Employment: Full time, regular, Hybrid. Benefits: Gratuity, Medical and accidental insu...","Sales Support, SFDC, business strategy, documentation, CRM, Sales, Administration",0,https://www.naukri.com/job-listings-sales-support-administrator-aveva-solutions-india-llp-mumbai-3-to-8-years-191224910772
Technology Architect,Accenture,5.0,,Pune,Project Role :Technology ArchitectProject Role Description :Review and integrate all ap...,"tibco, cloud technologies, microservices, application integration, tibco ems, oracle, web services, system software",3,https://www.naukri.com/job-listings-technology-architect-accenture-solutions-pvt-ltd-pune-5-to-10-years-161224909937
Senior Accountant,Avantor,2.0,,Pune,Bachelor's degree in Accounting or Finance with experience in financial reporting and c...,"Financial Reporting, accounts reconciliation, journal entry, corporate accounting, external audit, accounting, Finance, Reporting",0,https://www.naukri.com/job-listings-senior-accountant-avantor-performance-materials-india-private-limited-pune-2-to-6-years-191224908224
Application Support Engineer,Accenture,3.0,,Mumbai,Project Role :Application Support EngineerProject Role Description :Act as software det...,"application software, sap sd, sap mm, sap srm, itil, ticketing tools, networking, root cause analysis",9,https://www.naukri.com/job-listings-application-support-engineer-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-101224920830
